Name,Date,Nationality,Summary,Description
Raul Juliá ,1940 – 1994,Not found, He was a famous Puerto Rican actor and won many awards for his work in film.     ,"Juliá’s career took off when he moved to New York. He performed in many theater plays and eventually received roles in two television series, Love of Life and Sesame Street. In 1978, he famously starred alongside Meryl Streep in an electric revival of Shakespeare’s Taming of the Shrew at the Delacorte Theater.Between 1974 and 1982, Juliá received Tony Award for Best Actor in a Musical nominations for Where’s Charley?, The Threepenny Opera and Nine. He also acted in many movies, and is well known for his portrayal of Gomez Addams in two film adaptations of The Addams Family."
Ritchie Valens ,1941 – 1959,Not found, Being a rock and roll pioneer and a forefather of the Chicano rock movement.,"Valens had several hits, most famous was “La Bamba”, which he had adapted from a Mexican folk song. It became a hit in 1958, which made him a pioneer of the Spanish-speaking rock and roll movement. He also had an American number-two hit with “Donna”. Valens tragically died on February 3, 1959 due to a plane crash. To honor his legacy, Valens was inducted into the Rock and Roll Hall of Fame in 2001."
Danny Trejo ,1944 -Present,Not found, Being an American actor and restaurateur who has appeared in numerous Hollywood films.,"Examples of Trejo’s filmography include Heat (1995), Con Air (1997), Bubble Boy (2001), and Desperado (1995). Trejo is perhaps most recognized as the character Machete, a character that was expanded on in Trejo’s own series of films for mature audiences. He has appeared in a number of popular TV shows as well, such as Stargate Atlantis, Breaking Bad, Brooklyn Nine-Nine, The X-Files, King of the Hill, The Flash, and Sons of Anarchy."
Linda Maria Ronstadt ,1946 – Present,Not found," American singer who performed and recorded in diverse genres including rock, country, light opera, and Latin. ","Ronstadt began her career in the 1960s and went on to become a Rock and Roll icon. She appeared six times on the cover of Rolling Stone and on the covers of Newsweek and Time. Her success  opened many doors for women in rock and roll and other musical genres. She has won several awards throughout her career including 10 Grammy Awards, three American Music Awards, two Academy of Country Music awards, an Emmy Award, and an ALMA Award. Additionally, many of her albums have been certified gold, platinum or multiplatinum in the United States and internationally. She retired in 2011."
Judith Baca ,1946-Present,Not found," American Chicana artist, activist, and University of California, Los Angeles professor of Chicana/o Studies in the School of Social Sciences and a professor of World Arts and Cultures in the School of Art and Architecture.","Baca is the co-founder and artistic director of the Venice, California-based Social and Public Art Resource Center (SPARC). She is most well known for being the director of the Great Wall of Los Angeles Mural, one of the largest murals in the world.. As a Chicana woman, she wanted to empower women of color and bring communities together. Baca accomplished this by creating public art that positively portrayed the beauty of Chicana culture."
Carlos Santana ,1947-Present,Not found," Mexican and American guitarist who rose to fame in the late 1960s and early 1970s with his band Santana, which pioneered a fusion of rock ‘n’ roll and Latin American jazz.","Santana learned to play the guitar at a young age and was inspired by Ritchie Valens. His band had a breakthrough in 1969 when it was invited to play at the Woodstock Music and Art Festival. Their first album was released later that year and became a huge hit, reaching #4 on the U.S. album charts. In 2015, Rolling Stone magazine listed him at No. 20 on their list of the 100 greatest guitarists. He has received 10 Grammy Awards and three Latin Grammy Awards, and was inducted along with his namesake band into the Rock and Roll Hall of Fame in 1998."
Juan Felipe Herrera ,1948 – Present,Not found,"Herrera’s publications include fourteen collections of poetry, prose, short stories, young adult novels and picture books for children. He won the Ezra Jack Keats Book Award in 1997 for his children’s book Calling the Doves which was influenced by his own experiences of being the child of migrant farmers. He has received many honors and awards for his art and literature. In 2015, Herrera was appointed as the nation’s first Chicano poet laureate.", 
Franklin Chang-Diaz ,1950 – Present,Not found,"  Being a Costa Rican American mechanical engineer, physicist and former NASA astronaut.","Franklin Chang-Diaz is a veteran of seven Space Shuttle missions, tying the record, as of 2018 for the most spaceflights. He is also a member of the NASA Astronaut Hall of Fame. After leaving NASA, Chang Díaz set up the Ad Astra Rocket Company. After years of research and development the company has produced the Variable Specific Impulse Magnetoplasma Rocket (VASIMR), an electrical propulsion device for use in space. He is also an advocate for environmental protection and raising awareness about climate change."
Julia Alvarez ,1950 -Present,Not found," Being a Dominican-American poet, novelist, and essayist.","Alvarez gained popularity when she published the novels How the García Girls Lost Their Accents (1991), In the Time of the Butterflies (1994), and Yo! (1997). Some of her popular poetry works include Homecoming (1984) and The Woman I Kept to Myself (2004). Alvarez is considered to be one of the greatest Latina writers and has achieved international success. Many of her works are inspired by her experiences as a Dominican in the United States, and focus heavily on issues of assimilation and identity. "
Sylvia Rivera ,1951-2002,Not found, Being a Puerto Rican American transgender and gay rights activist.,"Rivera co-founded the Street Transvestite Action Revolutionaries (STAR) with Marsha P. Johnson. STAR is a group dedicated to helping homeless young drag queens, gay youth, and trans women. Rivera struggled with poverty and homelessness throughout her own life and wanted a way to help others like her."
Sonia Sotomayor ,1954 – Present,Not found, Being the first Hispanic and Latina member of the Supreme Court of the United States of America.,"Sotomayer knew she wanted to become an attorney since she was just ten years old, she was partially inspired by the popular television s Perry Mason. She graduated summa cum laude from Princeton University in 1976 and received her Juris Doctor from Yale Law School in 1979. She was nominated to the U.S. District Court for the Southern District of New York by President George H. W. Bush in 1991. In 1997, she was nominated by President Bill Clinton to the U.S. Court of Appeals for the Second Circuit.  Finally, in May 2009, President Barack Obama nominated Sotomayor to the Supreme Court. "
Sandra Cisneros ,1954 – Present,Not found," Being a Chicana writer. She is best known for her first novel, The House on Mango Street (1983).","Cisneros has won many awards for her literary works, and her novel, The House on Mango Street, is taught in many schools as a coming of age story. It has also been translated in several languages and has sold copies worldwide. Cisneros is a highly respected and celebrated figure of Chicana literature. She has worked in many varying occupations, she has been a teacher, a counselor, a college recruiter, a poet-in-the-schools, and an arts administrator. Literature has always been a huge part of her life and in in 2000 she founded the Alfredo Cisneros Del Moral Foundation, which awards talented writers."
Andy Garcia ,1956-present,Not found,  Being an American actor and director.,"Garcia’s first rise to fame as an actor occurred when he performed in Brian De Palma’s The Untouchables (1987). He was later nominated for an Academy Award for Best Supporting Actor for his role in The Godfather Part III (1990). He has acted in many popular Hollywood films such as Ocean’s Eleven (2001) and its sequels. He also produced and acted in the HBO television film, For Love or Country: The Arturo Sandoval Story (2000), where he received a Primetime Emmy Award and a Golden Globe Award nomination for his performance."
Monica Lazano ,1956-present,Not found, Being an American publisher.,"Lazano is currently the president of the College Futures Foundation, which is located in San Francisco. However, she is more widely known for her work as a publisher and newspaper editor. She worked as the Chief Executive Officer of La Opinión, which is the largest Spanish publication in the U.S. Lazano was also the CEO of its parent company, ImpreMedia, LLC. "
Gloria Estafan ,1957-present,Not found," Being a famous Cuban-American singer, songwriter, actress and businesswoman.","Estafan initially gained fame as the lead singer for the Miami Sound Machine. In 1985, her song “Conga” gained worldwide recognition and popularity. And in 1988, she and the band got their first number-one hit with the song “Anything for You”. Estafan continued to create hits, even after suffering from critical injuries sustained from a bus accident. She is one of the best-selling female singers of all-time, with over 75-million sales worldwide. She has won many awards and honors including three Grammy Awards, a star on the Hollywood Walk of Fame and Las Vegas Walk of Fame, as well as the Presidential Medal of Freedom, among others. "
Jorge Ramos ,1958 – Present,Not found,"Ramos is considered to be the best Spanish-Language news anchor in the United States. He has reported for many important historical events such as the fall of the Berlin Wall and the War in Afghanistan. Ramos anchors for the Univision news television program Noticiero Univision, the Univision Sunday-morning political news program Al Punto, and the Fusion TV English-language program America with Jorge Ramos. He has won ten Emmy Awards for his work and the Maria Moors Cabot Prize, an award that honors his accomplishments as a journalist. ", 
Ellen Ochoa ,1958 – Present,Not found,  She was the first Hispanic woman to go to space when she served on a nine-day mission aboard the Space Shuttle Discover.,Ochoa became a NASA astronaut in 1991 and became the first Hispanic woman to go to space during the 1993 Space Shuttle Discover mission to study the Earth’s ozone layer. She has logged about 1000 hours total in space. She was also the first Hispanic director and the second female director of the Johnson Space Center. She has had a handful of schools named in her honor and was named Vice Chair of the National Science Board for the 2018–2020 term.
George Lopez ,1961-Present,Not found, Being an American comedian and actor. He starred in his own self-produced ABC sitcom. ,"Lopez’s sitcom, George Lopez, was picked up in 2002 by the ABC network which made Lopez one of few Hispanic Americans to star in his own television series. The sitcom continues to air reruns on television. Since his sitcom, Lopez has acted and voice acted in a number of films. He is also known for being involved with charity work. In 2005, he was named one of “The Top 25 Hispanics in America” by Time magazine."
Cecilia Muñoz ,1962-Present,Not found, Being an American political advisor who served as Director of the White House Domestic Policy Council under President Obama.,"  Muñoz worked for five years as the Director of the White House Domestic Policy Council. Before that position, she served as the White House Director of Intergovernmental Affairs for three years. She was also the Senior Vice President for the Office of Research, Advocacy and Legislation at the National Council of La Raza (NCLR), the United State’s largest Latino advocacy organization. In 2000, she was named a MacArthur Fellow for her work on civil rights and immigration."
Anthony Romero ,1965-Present,Not found,  Being the first Latino and openly gay man to be executive director of the American Civil Liberties Union. ,"Romero became the director of the American Civil Liberties Union in 2001. Following the attack on 9/11, Romero launched a national campaign called “Keep America Safe and Free”. This campaign was set in place to protect American civil liberties, it successfully uncovered thousands of documents which revealed the illegal torture and abuse of detainees in U.S. custody in Iraq, Afghanistan, and Guantanamo. This campaign also won many court victories against the Patriot Act. Under Romero, the ACLU experienced massive growth which allowed for the organization to expand its activities with regard to racial justice, religious freedom, privacy rights, reproductive freedom, and LGBT rights."
Salma Hayek ,1966-Present,Not found, Being a famous Mexican and American film actress and producer.,"Salma Hayek started her career with a Mexican telenovela  called “Teresa”, she was nominated for an Ariel Award for the role she played. In 1991, she began working in Hollywood. She rose to fame in the 2002 when she starred in Frida, a film about the life of the artist Frida Kahlo. She was nominated for Best Actress for the Academy Award, BAFTA Award, Golden Globe Award, and Screen Actors Guild Award. She has starred in other popular movies and has guest starred on multiple tv shows. "
Jennifer Lopez ,1969-Present,Not found," known by her nickname J.Lo, is an American actress, singer, and dancer.","Jennifer Lopez began her career in 1991, as a returning dancer on In Living Color. In 1993 she began pushing for an acting career and had a breakthrough in 1997 for her first leading role in the Selena biopic of the same name, she subsequently became the first Latin actress to earn over US$1 million for a film. In the late 1990s she broke into the music industry with her debut studio album On the 6 (1999), which helped to propel the Latin pop movement in American music. Jennifer Lopez has gone on to have a very successful career. She is considered a pop culture icon. She is called a “triple threat entertainer”: a dancer, singer, and actress. "
Ted Cruz ,1970- Present,Not found, Being an American politician and attorney serving as the junior United States Senator for Texas since 2013. ,"Cruz is an American Politician who aligns himself with the Republican Party. In 2012, he was elected to the U.S. Senate, and became the first Hispanic American to serve as a U.S. senator from Texas. He has very conservative views and played a leading role in the 2013 United States federal government shutdown, seeking to force Congress and President Barack Obama to defund the Affordable Care Act. In 2016, Cruz ran for President of the United States, placing second behind Donald Trump in the Republican primary. In January 2021, Cruz was criticized for giving credence to the baseless conspiracy theory that the election was stolen from Trump. After a violent mob of Trump supporters, motivated by the beliefs Cruz and others promoted, stormed the United States Capitol, figures from across the political spectrum condemned him and argued that he carries responsibility for the riot which caused horrific damage to the Capitol and resulted in five deaths."
Sofía Vergara ,1972- Present,Not found," a Colombian-American actress, television producer, presenter and model. She has been the highest paid actress in American television for seven consecutive years, from 2013 to 2020.","Vergara is probably most well known for her role as the character “Gloria Delgado-Pritchett” in the popular ABC comedy show, Modern Family. Her role on the show has earned her nominations for five Golden Globe Awards, four Primetime Emmy Awards, and seven Screen Actors Guild Awards. She has acted in quite a few films and has had many voice acting jobs as well. "
Oscar De La Hoya ,1973-present,Not found,"Oscar De La Hoya competed as a professional boxer from 1992 to 2008. During his boxing career he won 11 world titles in six weight classes, including the lineal championship in three weight classes and is considered to be the 16th best boxer of all time. At the 1992 Summer Olympics, he was nicknamed “The Golden Boy of Boxing” after winning a gold medal in the lightweight division. He is also the first American of Mexican descent to own a national boxing promotional firm.", 
Alexander Enmanuel Rodriguez aka “A-Rod”  ,1975-present,Not found, Being a professional baseball shortstop and third baseman for Major League Baseball.,"Rodriguez played Major League Baseball for 22 seasons. The teams he played on include the Seattle Mariners (1994–2000), Texas Rangers (2001–2003), and New York Yankees (2004–2016). He is considered to be one of the greatest baseball players of all time despite some of his more questionable actions such as his use of performance-enhancing drugs. Some of his records and accomplishments include a .295 batting average, over 600 home runs (696), over 2,000 runs batted in (RBI), over 2,000 runs scored, over 3,000 hits, and over 300 stolen bases. He was also a 14-time All-Star, winning three American League (AL) Most Valuable Player (MVP) Awards, 10 Silver Slugger Awards, and two Gold Glove Awards."
Michelle Rodriguez ,1978 – Present,Not found, Being a famous actress.,"Michelle Rodriguez, according to a 2013 Entertainment Weekly article, is “arguably the most iconic actress in the action genre, as well as one of the most visible Latinas in Hollywood.” Her acting debut in the independent film Girlfight (2000) was met with critical acclaim, and also earned her several awards, including the Independent Spirit Award and the Gotham Award. She has gotten significant roles in a number of action films, including The Fast and Furious movie franchise, Avatar, Resident Evil, S.W.A.T., Battle Los Angeles, among others."
Lin-Manuel Miranda ,1980 – Present,Not found," Being an American actor, singer, songwriter, rapper, director, producer, and playwright.","Miranda created and starred in the Broadway musicals “In the Heights” and “Hamilton”. His musical, “Hamilton”, which he wrote the script, music and lyrics for, gained instant popularity and recognition since its Broadway debut in 2015. It is already considered to be a pop culture classic. The show earned the Pulitzer Prize for Drama, the Grammy Award for Best Musical Theater Album, and was nominated for a record 16 Tony Awards, of which it won 11, including Best Musical, Best Original Score and Best Book. Miranda has won many additional awards for his full body of work."
Carmen Maria Machado ,1986 – Present,Not found," Being an American short story author, essayist, and critic frequently published in The New Yorker, Granta, Lightspeed Magazine, and other publications.","Machado earned her MFA through the Iowa Writers’ Workshop and has also received a number of fellowships and residencies through various foundations. Some of her writing inspirations include Ray Bradbury, Shirley Jackson, Angela Carter, and Yōko Ogawa, and in particular, by Gabriel García Márquez’s One Hundred Years of Solitude. Her stories have been reprinted in Year’s Best Weird Fiction, Best American Science Fiction & Fantasy, Best Horror of the Year, The New Voices of Fantasy, and Best Women’s Erotica. In 2019, she published her memoir, In the Dream House and has been shortlisted for the 2021 Folio Prize."
Raffi Freedman-Gurspan ,1987-Present,Not found, An American transgender rights activist and the first openly transgender person to work as a White House staffer.,"Raffi Freedman-Gurspan was was hired by President Barack Obama as Outreach and Recruitment Director in the Presidential Personnel Office at the White House. President Obama also appointed her as the White House’s primary LGBT liaison in 2016. A year later, in 2017, President Obama appointed her to a 5-year term as a member of the United States Holocaust Memorial Council, the Board of Trustees of the United States Holocaust Museum in Washington, DC. She is a longtime activist and public policy specialist on matters concerning human rights, gender, and LGBT people. She is currently working as the Deputy Campaign Director for the All on the Line Campaign in an effort to end gerrymandering. "
Selena Gomez ,1992-Present,Not found," Being an American singer, actress, and producer.","Gomez first rose to fame for her role as the teenage Alex Russo in the Emmy Award–winning Disney Channel television series Wizards of Waverly Place (2007–2012). She has acted in several movies and has also created music albums. She has sold approximately over seven million albums and 22 million singles worldwide, according to Billboard. She has also received various accolades for her performances. "
Demi Lovato ,1992 – Present,Not found, Being an American singer and actress.,"Lovato gained popularity for her role as Mitchie Torres in the Disney Channel musical television film Camp Rock (2008) and its sequel Camp Rock 2: The Final Jam (2010). She has sold over two million albums and 20 million singles in the United States. Some of her accolades include an MTV Video Music Award, 14 Teen Choice Awards, five People’s Choice Awards, and two Latin American Music Awards. Lovato is also a dedicated activist and won the Vanguard Award in 2016 from GLAAD for her LGBT activism. "
Emma González ,1999-Present,Not found, Being an American activist and advocate for gun control.,"González is a survivor of the February 2018 Stoneman Douglas High School shooting in Parkland, Florida. In response to this tragedy González organized and co-founded the gun-control advocacy group Never Again MSD. They gave a viral speech against gun violence which boldly proclaimed “We call B.S.” on the lack of action taken by politicians funded by the NRA. Subsequently, González continues to fight for gun-control and stays active on social media. They also helped to organize the March for Our Lives. In 2018, González was included in Time magazine’s 100 Most Influential People of 2018."
Hippocrates ,c.460 BC – c.370 BC,Greek, Father of Medicine,"Credited with writing the Hippocratic Oath that today’s medical professionals still follow in their practice. He had the theory of the vapors, which stated that many diseases were the result of a bad diet."
Aristotle ,384 BC – 322 BC,Greek," Theory of Three Psyches, Scientific Method","Wrote about many scientific topics, including biology, physics and zoology. His ideas helped shape Western scientific thought into the Renaissance until they were replaced with with Newtonian physics."
Archimedes ,c.287 BC – c.212 BC,Greek," Archimedes Principle, Archimedes Screw","Astronomer, scientist, and physicist with several inventions to his name. He created a formula to calculate the area of the underside of a parabola. He also designed many machines of antiquity."
Galen ,c. 129 AD –  200/216 AD,Roman, Father of Medicine,"Galen was best known as Galen of Pergamon. He was a famous philosopher and surgeon amongst the Romans. His works contributed greatly to the knowledge of anatomy, pathology, physiology, neurology, pharmacology, logic, and philosophy."
Leonardo da Vinci ,1452-1519,Italian," Vitruvian man, aerial screw","Renaissance thinker who made several inventions and discoveries in the fields of engineering, anatomy, and hydrodynamics. Also one of the most well-known artists throughout history."
Nicolaus Copernicus ,1473-1543,Italian, Heliocentric Model of the Universe,"Astronomer and mathematician from the Renaissance era. He theorized that the sun was the center of the universe rather than the Earth, which was a controversial claim at the time."
Galileo Galilei ,1564-1642,Italian,Father of Modern Science; Heliocentrism,"Astronomer, physicist, mathematician and philospher who said the earth and planets revolve around the sun. He confirmed the different phases of Venus with a telescope and observed sunspots and the moons of Jupiter."
Johannes Kepler ,1571-1630,German, Laws of Planetary Motion,"Defined a new type of astronomy called “celestial physics,” which said that God created the world in a way that can only be studied through reasoning. Also developed the Keplerian Telescope, which was an improvement on previous telescopes."
Evangelista Torricelli ,1608-1647,Italian, Invented the barometer,Mathematician and physicist who built several telescopes and microscopes. He is also known for creating the barometer and Torricelli’s Law. He also studied and produced scientific evidence for the causes of wind.
Blaise Pascal ,1623-1662,French, Modern theories of probabilities,"Mathematician and phycisist who is credited with making the first usable calculator, called the Pascaline. He published a treatise on projective geometry and is known for his work in mathematical probability theories."
Robert Boyle ,1627-1691,English, Boyle’s Law,Physicist and chemist who is partially credited with creating the field of modern chemistry. Boyle’s Law refers to the relationship between a gas and pressure in a closed system when the temperature remains the same.
Isaac Newton ,1642-1727,British, Laws of Gravity and Motion,"Newton is one of the most influential scientists in history. He published several books, formulated several scientific laws and made significant discoveries. His main credits include formulating the laws of gravitation and motion."
Edmond Halley ,1656-1742,English, Calculated the orbit of Halley’s Comet,"Mathematician and astronomer who published important papers on topics like sun spots, the solar system and more. He is also known for trying to measure the distance from the earth to the sun based on the travels of Venus."
Anders Celsius ,1701-1744,Swedish, Proposed the Celsius scale for temperatures,Astronomer and professor who studied temperature and the connection between the aurora borealis and the planet’s magnetic field. Published findings that noted that part of Scandinavia was rising above sea level.
James Watt ,1736-1819,Scottish, Electrical unit Watt named after him,Mechanical engineer and inventor who improved the efficiency of the steam engine through the use of a separate condenser. Watt also developed the idea of horsepower.
Edward Jenner ,1749-1823,English, Pioneered the smallpox vaccine,"Often called the “Father of Immunology,” his research in vaccinations have saved countless lives over the last couple centuries. He was appointed to be official physician to King George IV in 1821."
Michael Faraday ,1791-1867,British, Discovered electromagnetic induction,"Physicist and chemist who worked to make electricity a viable technology that could be used. He also did a lot of work with batteries, electrolysis, and magnets."
Charles Babbage ,1791-1871,British, Discovered electromagnetic induction,"Physicist and chemist who worked to make electricity a viable technology that could be used. He also did a lot of work with batteries, electrolysis, and magnets."
Thomas Graham ,1805-1869,Scottish, Invented the dialysis process for kidneys,"Chemist who studied the diffusion of gasses. He coined Graham’s Law and also developed the process of dialysis, which is still used in medical facilities today. Graham is also credited with being the founder of colloid chemistry."
Charles Darwin ,1809-1882,British, Theory of Evolution and Natural Selection,Darwin formulated a theory that said humans descended from animals through a process called Natural Selection. His ideas have created a great deal of controversy in his day and through today.
Louis Pasteur ,1822-1895,French," Process of Pasteurization, vaccine for anthrax and rabies","Influential in the field of medical microbiology. Pasteur worked toward cures for diseases and processing methods for reducing harmful bacteria in milk, wine, and other products.His work also helped reduce mortality rates from puerperal fever."
Gregor Mendel ,1822-1884,Austrian, Father of Modern Genetics,Scientist who experimented with plant hybridizations. He discovered that many of his findings could be transferred to animals and humans. Coined the terms “recessive” and “dominant” when referring to genes.
"William Thomson Kelvin
",1824-1907,British, Kelvin Scale of Temperature,Physicist and engineer who determined the value for absolute zero in regards to temperature. He also estimated that the age of the earth was between 20 and 400 million years old and helped develop the second law of thermodynamics.
Alfred Nobel ,1824-1896,Swedish, Invented dynamite,"Best known for the Nobel Prizes, which are named after him and generally awarded to those who excel in the sciences. These prizes are often reserved for those who make a significant discovery or invention in their respective fields."
Ernst Haeckel ,1834-1919,German, Gave names to thousands of unknown species,"Zoologist who supported Darwin’s theories regarding evolution and developed the recapitulation theory, also known as the biogenetic law. He also created several terms in the field of biology, including stem cell, ecology, and several others."
Dmitri Mendeleev ,1834-1907,Russian, Periodic Table,Published Principles of Chemistry in 1869 which detailed his work in arranging the various elements accordig to their atomic mass. He is also credited with introducing the metric system to the Russian Empire.
"Wilhelm Conrad Rontgen
",1845-1923,German, Discovered the modern day x-rays,"Physicist who worked with electromagnetic radiation. He won the Nobel Prize in Physics in 1901 for his discovery of x-rays. he also worked extensively with magnetic fields, although his findings in this field are lesser known."
Thomas Edison ,1847-1931,American, Phonograph; electric light bulb; motion pictures; etc.,"Edison created some of the most prominent inventions that are in most households today. He often gets credit for being the person who created the first research laboratory and he held more than 1,000 patents for his inventions."
Nikola Tesla ,1856-1943,Croatian, A/C Electrical System,"Created precursors to modern-day inventions, including a global communication system and induction motors, among others. Tesla experimented with radio communications and x-rays, too. He was considered a “mad scientist” because of his unique inventions."
Max Planck ,1858-1947,German, Quantum Theory,Theoretical physicist who won the Nobel Prize in Physics in 1918 for his theory on quantum physics. He revolutionized the way people thought about the atomic process.
"George Washington Carver
",1864-1943,American, Used peanuts in a variety of inventions and products,"Scientist and botanist who strived to create alternative crops for sweet potatoes, peanuts, cotton and soybeans. He also helped establish a foundation in his name at the Tuskegee Institute and he became a member of England’s Royal Society of Arts."
Marie Curie ,1867-1934,Polish, Discoveries and work with radioactivity and radium,Physicist who was also the first woman to win the Nobel Prize. She won two of the awards – one in Physics and one in Chemistry. She was one of the pioneers in the discovery and use of x-rays.
Ernest Rutherford ,1871-1937,New, The Father of Nuclear Physics,Physicist and chemist who won the Nobel Prize in 1908 for his work with exploring radioactive substances. He also had a chemical element named after him – rutherfordium – which is synthetic and radioactive.
Albert Einstein ,1879-1955,German, Theory of Relativity,Einstein was one of the most prominent scientists and physicists in history. He won a Nobel Prize in Physics in 1921 for his law concerning the photoelectric effect. He’s also credited with creating the “world’s most famous equation.”
Otto Hahn ,1879-1968,German, Helped discover nuclear fission,"Known as the “Father of Nuclear Chemistry,” Hahn studied extensively the topics of radioactivity and radiochemistry. He was also a peace activist during WWII."
Alexander Fleming ,1881-1955,Scottish, Helped create penicillin,BIBiologist and pharmacologist who helped discover penicillin which was a medical breakthrough. He shared the Nobel Prize in Physiology for his work with two other people in 1928.This discovery is credited with being the starting point of modern antibiotics.
Niels Bohr ,1885-1962,Danish, Bohr Model of the Atom,Bohr won the Nobel Prize in 1922 in Physics for his work on the atomic structure. He worked towards using atoms for peaceful purposes rather than wartime weapons.He is also credited with creating the principle of complementarity.
Erwin Schrodinger ,1887-1961,Austrian, One of the founders of quantum physics,"Shared the Nobel Prize in 1933 for his work in quantum theory. Also did significant work in color theory, cosmology, and other related fields. Published What is Life?, discussing genetics and physics."
Edwin Hubble ,1889-1953,American, Exploring the Milky Way; Hubble’s Law,"Astronomer and cosmologist who helped create the field of extragalactic astronomy. He theorized that the universe is ever-expanding due to recessional velocity, which was later termed “Hubble’s Law.”"
Frederick Banting ,1891-1941,Canadian, Discovered insulin,Physician and scientist who won the Nobel Prize in Physics/Medicine in 1923 for discovering insulin. He was the youngest recipient of the prize and he was knighted by King George V in 1934 for his discovery.
Alfred Kinsey ,1894-1956,American, Studies of Human Sexuality,Conducted numerous studies about human sexual nature and opened up the Institute of Sex Research at Indiana Universty. He published Sexual Behavior in the Human Male and Sexual Behavior in the Human Female.
Robert Oppenheimer ,1904-1967,American, Father of the Atomic Bomb,"Theoretical physicist who explored nuclear fusion, electrons, positrons and black holes. One of the founders of the American school of theoretical physics and a recipient of the Enrico Fermi Award, given by the US Department of Energy."
Edward Teller ,1908-2003,Hungarian, Father of the Hydrogen Bomb,Theoretical physicist who supported and advocated for nuclear energy testing and proliferation. He co-founded the Lawrence Livermore National Laboratory. Some of his awards include the Albert Einstein Award and the Enrico Fermi Award.
Alan Turing ,1912-1954,British, Pioneer in artificial intelligence and computer science,"Turin was a mathematician, computer scientist and a codebreaker. He worked for Britain during WWII to create ciphers that helped decode German messages. He has been called the Father of Artificial Intelligence."
Jonas Salk ,1914-1995,American, Developed the first polio vaccine,Medical researcher who spent several years studying the polio virus and finding vaccinations for it. He also studied influenza and searched for ways to cure that. Established the Salk Center for Biological Studies in 1963.
Richard Feynman ,1918-1988,American, Helped develop the atomic bomb,"Theoretical physicist who received the Nobel Prize in Physics in 1965 for helping create and develop quantam electrodynamics. He also designed a set of mathematical illustrations concerning subatomic particles, which came to be known as the Feynman Diagrams."
James Watson ,1928,American, Co-founder of the DNA structure,Geneticist and molecular biologist who was awarded the Nobel Prize in Physiology in 1962 for his work and collaboration with others on the molecular structure of DNA.
Carl Sagan ,1934-1996,American, TV Series Cosmos; exploring extraterrestrial intelligence,"Astronomer and astrophysicist who wrote several books, co-wrote a TV show about space, and promoted exploration of extraterrestrial intelligence and life. Sagan also had an interest in studying UFOs."
Stephen Hawking ,1942,British, Hawking Radiation; Authored A Brief History of Time,"Cosmologist and theoretical physicist who has studied the phenomenon of black holes and gravity. Honorary Fellow of the Royal Society of Arts. His book, A Brief History of Time, was a bestseller for more than four consecutive years."
"Aristarchus of Samos
",c.310 BC- c.230 BC,Greek, Developed first heliocentric model of the universe,"Aristarchus of Samos tried calculating the distance between th earth and the moon. While his calculations were incorrect, later astronomers used his data and methods to arrive at more accurate calculations."
Hipparchus ,c.190 BC-c.120 BC,Greek, Created a system for predicting solar eclipses,Studied the motion of the moon and produced a catalog system of 850 stars. He also discovered the precession of the equinoxes based on the steady revolution of the earth. He also studied a solar eclipse to help him determine the distance from the earth to the moon.
Ptolemy ,c.90-c.168,Greco, Ptolemaic Model of the universe,"Presented the Amalgest, which included his geocentric model of the universe. His model put the earth at the center of the universe with everything revolving around it. It was almost universally accepted until the scientific revolution."
Aryabhata ,476-550,Indian, First astronomer to theorize the heliocentric model of the universe,"Aryabhata was one of the first astronomers to theorize the the earth was round. He also believed that it rotated on its own axis and this was the reason for night and day. Further, he believed the moon was illuminated by the sun."
Al-Kindi ,c.801-c.873,Arab, Wrote several treatises about the stars and planets,"Also known as Alkindus, Al-Kindi wrote more than 15 books on the topic of astronomy. He believed in a geocentric model of the universe, but he theorized that the circular orbit of the planets was their divine obedience to God."
Bhaskara ,1114-1185,Indian, Closely estimated the time for the earth to travel around the sun,"Bhaskara wrote Siddhanta Shiromani, a book that explored the planets and earth. It consisted of 25 chapters with each chapter exploring an individual topic, such as the longitudes and latitudes of the planets, planetary motions, astronomical tools and more."
Nasir al-Din al-Tusi ,1201-1274,Persian, Created a planetary movement model that was the most advanced of his time,"Tusi theorized that the Milky Way was made up of many tight clusters of faint stars which gave the galaxy a “milky” appearance. Nearly 400 years later, Galileo observed through a telescope that the galaxy was made up of tight clusters of stars."
Nicolaus Copernicus ,1473-1543,Polish, Heliocentric model of the universe,Renaissance astronomer who theorized that the sun was the center of the universe rather than the earth. He also stated that the moon revolved around the earth’s orbit rather than the sun’s.
Tycho Brahe ,1546-1601,Danish, Created the Tychonic system,Created a model of the universe which combined ideas from Copernicus and the geocentric model. He is described as one of the last astronomers to use the naked eye for making their observations rather than a telescope.
Galileo Galilei ,1564-1642,Italian, Father of Modern Observational Astronomy,"Galileo made significant improvements to the telescope for more effective observations of the planets. He confirmed the phases of Venus, analyzed sunspots, and discovered Jupiter’s four satellites."
Johannes Kepler ,1571-1630,German, Explained planetary motion and founded celestial mechanics,Played a major role in the Scientific Revolution throughout the 17th century. Kepler explained the orbits and rotations of the planets which came to be known as Kepler’s Laws. He was also the first to explain how the moon affects ocean tides.
